"Priority","Pod","What's missing","Why it matters","What we need from you"
"HIGH","Cocoon","All area figures (footprint, built-up, liviable, RERA carpet, room, bathroom)","This pod is absent from the spec sheet, so its page and the comparison table show no areas.","Add a row for Cocoon to the areas spec sheet."
"HIGH","Cocoon","Real product photography (currently indicative renders)","The page carries a visible disclaimer that images aren't the real product — weakens trust on a premium site.","Send 6–10 real photos of a built Cocoon (exterior, interior, detail)."
"HIGH","Cocoon","Gallery images (only 1 available)","With fewer than 2 images the entire gallery section is hidden, so the page has almost no product imagery.","Send at least 6 images so the gallery can be enabled."
"HIGH","WatchPod","All area figures (footprint, built-up, liviable, RERA carpet, room, bathroom)","This pod is absent from the spec sheet, so its page and the comparison table show no areas.","Add a row for WatchPod to the areas spec sheet."
"HIGH","WatchPod","Real product photography (currently indicative renders)","The page carries a visible disclaimer that images aren't the real product — weakens trust on a premium site.","Send 6–10 real photos of a built WatchPod (exterior, interior, detail)."
"HIGH","WatchPod","Gallery images (only 1 available)","With fewer than 2 images the entire gallery section is hidden, so the page has almost no product imagery.","Send at least 6 images so the gallery can be enabled."
"HIGH","ECO / FLO / CURVV","Entire pod pages — these are on the spec sheet but not on the website","Three products with published areas have no page, no images, no copy, no price.","Confirm whether these are sold. If yes: price, photos, overview, features, use cases, FAQs."
"MEDIUM","Gatsby","Only 3 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 1–3 more real customer questions."
"MEDIUM","Gatsby","Short overview (285 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","Nomad","Only 3 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 1–3 more real customer questions."
"MEDIUM","Nomad","Short overview (267 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","Dojopod","Only 3 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 1–3 more real customer questions."
"MEDIUM","Dojopod","Short overview (287 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","Gazepod","Only 3 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 1–3 more real customer questions."
"MEDIUM","Gazepod","Short overview (227 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","Cocoon","Investment / rental-return line","Other pods show an 'As an investment' block; this one doesn't.","One line on how this pod earns (or confirm it's not a rental product)."
"MEDIUM","Cocoon","Only 3 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 1–3 more real customer questions."
"MEDIUM","Cocoon","Short overview (239 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","WatchPod","Investment / rental-return line","Other pods show an 'As an investment' block; this one doesn't.","One line on how this pod earns (or confirm it's not a rental product)."
"MEDIUM","WatchPod","Only 2 FAQs","FAQs answer buying objections and feed Google's FAQ rich results.","Add 2–4 more real customer questions."
"MEDIUM","WatchPod","Short overview (207 characters)","Thin copy for a high-value purchase; also weak for SEO.","Expand to ~400–600 characters: materials, feel, who it's for."
"MEDIUM","The 3-BHK","Full detail page (currently an enquiry card only)","Your highest-value product (₹95L) has no dedicated page.","Layouts, specs, photos and copy for the 2-BHK and 3-BHK homes."
"LOW","Nomad","Gallery has 7 images (flagship has 14)","Fewer images than the flagship makes the pod feel less substantial.","Send more images, especially interiors and details."
"LOW","Nomad","Only 4 signature features","Short feature list reads as a lesser product.","Add 2–3 more distinguishing features."
"LOW","Dojopod","Gallery has 6 images (flagship has 14)","Fewer images than the flagship makes the pod feel less substantial.","Send more images, especially interiors and details."
"LOW","Dojopod","Only 4 signature features","Short feature list reads as a lesser product.","Add 2–3 more distinguishing features."
"LOW","Gazepod","Gallery has 6 images (flagship has 14)","Fewer images than the flagship makes the pod feel less substantial.","Send more images, especially interiors and details."
"LOW","Gazepod","Only 4 signature features","Short feature list reads as a lesser product.","Add 2–3 more distinguishing features."
"LOW","Cocoon","Only 4 signature features","Short feature list reads as a lesser product.","Add 2–3 more distinguishing features."
"LOW","WatchPod","Only 4 signature features","Short feature list reads as a lesser product.","Add 2–3 more distinguishing features."
"CHECK","FLO","Liviable (1,100) is larger than Built-up (990)","Every other pod has liviable below built-up — looks like the two were swapped.","Confirm the correct figures."
"CHECK","FLO / CURVV","Bathroom listed as 42 sq ft","All other pods are 80–150 sq ft, and these two have the largest rooms (373) — possibly a dropped digit.","Confirm 42 sq ft is right."
